         N_y CPU         N_z CPU         N_tasks     512**3 HT 1     512**3 HT 2    1024**3 HT 1  times given in seconds
               8               8              64     7.15476e+01     7.15758e+01     4.96259e+02 
               8              16             128     5.23228e+01     5.22678e+01     2.51514e+02 
              16              16             256     2.36703e+01     3.83749e+01     1.41919e+02 
              16              32             512     1.02775e+01     2.09673e+01     8.79492e+01 
              32              32            1024     4.84459e+00     1.09292e+01     6.65940e+01 
              32              64            2048     2.77447e+00     5.51705e+00     3.00861e+01 
              64              64            4096     1.25289e+00     3.21569e+00     1.71756e+01 
              64             128            8192             NaN             NaN     7.61025e+00 
             128             128           16384             NaN             NaN     5.37808e+00 
